Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,345.977479,270.6023637,244.9666907,206.3560065,22.9846435,20.13663136,19.05707572,16.24726137,7.69694932,7.501084371,6.759467879,6.904479171,8.70029105,9.154082857,8.437266097,7.997660199,7.384412942,6.349830024,7.797234512,no data,no data,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.62986339,29.3595872,34.69009026,51.4093421,57.01023554,57.78952579,63.37646253,60.60972897,64.09740109,60.23990539,57.47288419,58.19955338,56.69031829,53.55012423,55.1402092,59.67018257,57.71025139,59.39981275,62.11995339,65.53,70.03000011,72.67007549,72.38004277,70.11993307,67.61001611,65.72986636,74.29995174,74.48991532,64.45999427,59.1314034
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.91152435,29.32495247,25.34703224,30.7678224,29.96625265,33.74653162,39.90597438,50.16418119,64.81420024,60.07197968,51.22826124,41.21076517,41.00573065,43.08117434,43.59419153,43.35241715,55.77764106,63.92847807,76.9095762,72.27158171,63.61781587,66.02130143,64.6147704,89.86453757,90.29027811,95.8656095,90.67588105,79.56103482,79.89017651,69.67627945,53.40565744,50.00285683,47.31249118,38.22421491,32.68963711,25.36552432,22.47251006,12.79448228,7.63735101,8.922469332,9.513301072,8.478106857,8.583171781,6.477529332,6.852796555,7.731179434,18.09442977,24.01514578,34.49266525,40.88159844,45.96737493,55.13449609,48.08493266,48.61876664
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,138.1154944,91.99236502,73.46241826,96.34092932,104.8273202,118.2425364,100.2214547,65.10703336,50.75988016,41.6266473,29.88638661,16.72586413,18.80441286,28.12202118,48.44800585,32.59369111,26.31785383,23.80535416,29.47305531,35.27418584,50.38581995,66.67000499,60.49212622,82.54136189,101.3728462,119.1454192,74.29215884,56.10816005,73.68214166
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.13239965,94.63447865,90.78411535,85.29195744,84.54593376,92.1402109,85.54755672,80.6502937,94.56606455,95.92467848,96.47269877,107.5978441,114.5406213,112.9963778,107.6655804,82.83598281,79.12875968,68.65535609,66.84326669,89.15530376,79.40370276,81.13088081,76.93161649,85.38469748,91.87874364,92.10811724,83.05594145,88.38915834,84.33269837,81.64000167,100.5246036,92.9953781,81.97720888,76.83317165
Argentina,20.5,17.4,18.7,21.4,23.9,24.1,22,19.7,17.2,10.2,8.4,8.7,25.1,21.58932471,15.49872516,14.66970659,12.36207794,10.05580407,8.67220349,8.853842521,12.45086463,14.02101905,15.77706602,11.06967695,11.99212505,31.17865535,26.48624,23.15940842,16.14350971,11.43982237,10.51802105,24.44593924,50.91728324,59.22908611,50.37002251,62.64001124,51.56957246,68.35967022,56.64350219,109.0433514,44.74283018,32.93441363,27.76823068,26.89271391,28.42598327,30.74937987,32.55075272,31.67579873,34.14687999,38.91698626,40.83283885,48.00661871,147.2025483,125.1616342,117.8778484,80.28179898,70.79268956,62.13271077,53.81385162,55.39708036,43.45431548,38.93485442,40.43604801,43.49606978,44.6968502,52.56264331,53.06017955,57.02784192,85.24631042,89.83968781,103.8158144,81.04275435,84.46298841,155.4110343
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.79192232,46.51459222,45.20030519,39.20037787,39.59711599,38.06111594,38.2476038,33.015776,26.44587792,24.40491734,18.72500695,16.10173417,16.14500671,40.16125052,39.66653048,42.00603371,41.22515869,40.85631501,43.68925508,48.70167975,56.74858445,58.93770497,55.65193786,53.67314642,67.36196881,63.35441678,49.24648903,50.72312984
Australia,109.5979109,86.9267396,85.90067906,79.71120558,76.69869788,74.83609101,71.67994782,67.59332931,65.9225418,62.26829607,48.24328708,49.2830132,50.2338261,47.49587971,44.92483665,43.65479765,42.39941609,40.45641371,39.41820278,36.72989998,34.89625305,32.22768346,30.66257587,27.30876989,22.3233178,23.59132402,22.93808637,23.59338366,24.68525736,22.84732622,21.2046162,19.09811842,16.80921487,20.96071917,22.27371042,23.98865502,25.47305112,25.20798111,20.48431113,15.99078939,12.07352888,11.91055113,14.27368093,17.69078683,19.89366642,22.11842293,21.37975848,20.51657684,16.27847593,15.43789997,13.69261925,11.9804205,10.31054336,8.973067725,8.077888815,7.343552634,6.548537322,6.067626988,7.599198559,11.48417591,14.23112951,16.98387718,19.23409454,21.24442478,24.59274596,28.45202841,31.62437041,32.37792668,32.91540593,36.58144583,43.62805738,41.00510413,35.68914348,34.83282337
Austria,20.92678805,14.4394157,12.84172605,15.71137676,13.66810515,11.37848587,10.45499647,7.946613136,10.91844288,12.99501472,13.12893848,11.8475607,11.48084747,11.59431141,11.54315932,10.99222745,10.4484527,11.60172769,12.44010059,12.47241821,11.99196199,10.59175366,9.863286626,9.826597335,9.424919784,14.51583395,17.52046874,19.48527276,22.33115332,23.72479442,24.9814245,26.53018652,28.59106527,32.69018392,35.14931975,37.31294807,41.66267821,45.37288905,45.36107501,45.44426872,45.53072018,46.22193392,46.2827191,50.04414856,52.72630791,55.24811504,55.61167695,56.83437913,56.83979249,57.87277545,56.50813833,55.05634282,54.66859373,54.72122486,55.93189637,55.6249139,54.23889683,51.89697793,55.1368302,58.57262829,59.74046339,59.06453,59.48475003,59.87523703,58.8963821,57.83640888,58.09461757,57.19053784,54.93621295,52.56690718,62.4781104,62.57157769,60.58469859,58.94823767
